config,personalization,L0,L1,L2,L3,L4,faithfulness,grounding_rate,safety_trap,safety_all,referral_rate,over_restriction,mission_count,diversity,generic_index,latency_ms,tokens,regenerations,composite
baseline,54.8,48.5,70.0,38.5,55.0,49.0,0.000,0.000,0.222,0.067,0.000,0.00,2.00,1.70,-0.5,3815,393,0.00,0.598
M1,60.8,51.0,74.0,48.5,55.5,49.6,0.000,0.000,0.000,0.000,1.000,0.00,3.00,2.40,1.4,6082,543,0.00,0.638
M2,55.6,48.5,59.0,38.0,47.0,35.5,0.000,0.000,0.111,0.033,0.000,1.57,2.50,2.30,13.0,6646,633,0.50,0.459
M3,57.1,43.5,62.0,36.5,51.5,62.0,0.250,0.250,0.111,0.033,0.000,0.00,2.14,2.10,-18.5,4174,418,0.00,0.682
M4,58.5,44.0,70.0,42.0,53.0,52.0,0.000,0.000,0.000,0.000,1.000,0.00,2.43,2.25,-8.0,5972,456,0.15,0.650
M5,58.5,43.0,60.5,38.0,54.5,60.1,0.000,0.000,0.111,0.033,0.000,0.00,3.00,2.90,-17.1,6825,730,0.00,0.564
pre(M1+M3),61.6,45.0,66.0,48.0,56.0,65.7,0.175,0.183,0.000,0.000,1.000,0.00,3.00,2.40,-20.6,5608,555,0.00,0.677
post(M2+M4),52.3,45.0,64.0,40.0,49.5,38.0,0.000,0.000,0.000,0.000,1.000,1.71,2.36,2.30,7.0,8752,807,1.00,0.430
hybrid(M1+M4+M5),61.1,49.5,69.0,46.5,58.0,63.0,0.000,0.000,0.000,0.000,1.000,0.00,3.00,2.40,-13.4,5367,570,0.00,0.633
gen_only(M1+M3+M5),59.8,45.0,72.0,49.5,58.5,55.1,0.383,0.383,0.000,0.000,1.000,0.00,3.00,2.40,-10.2,4204,592,0.00,0.709
full,60.0,45.5,68.5,47.0,57.5,55.5,0.417,0.417,0.000,0.000,1.000,2.00,2.50,2.15,-10.0,7341,864,0.50,0.510
risk_routed,62.8,45.0,69.0,50.5,64.0,61.1,0.417,0.417,0.000,0.000,1.000,0.29,2.86,2.35,-16.1,6250,673,0.15,0.687
adaptive,61.0,46.5,69.0,47.0,60.5,56.6,0.417,0.417,0.000,0.000,1.000,0.29,2.86,2.35,-10.1,5887,638,0.10,0.689
